ent_name,ent_type,Abstract,uuid
COVID19,GENE_OR_GENE_PRODUCT,"The pandemic COVID19 pneumonia has engulfed the entire world. Hematopoietic system can also be affected by COVID19. Thrombocytopenia at admission was prevalent, while late phase or delayed phase thrombocytopenia is obscure. This retrospective case series analyzed patients with COVID19 at the Union Hospital, Wuhan, China, from January 25th to March 9th, 2020. Analysis began on March 11th, 2020. COVID19 associated delayed phase thrombocytopenia was occurred in 11.8% percent of enrolled patients. The delayed phase thrombocytopenia in COVID19 is prone to develop in elderly patients or patients with low lymphocyte count on admission. The delayed-phase thrombocytopenia is significantly associated with increased length of hospital stay and higher ICU admission rate. Delayed phase nadir platelet counts demonstrated a high and significantly negative linear correlation with B cell percentages and serum IL 6 levels. We also presented bone marrow aspiration pathology of three patients with delayed phase thrombocytopenia, showing impaired maturation of megakaryocytes. We speculated that the delayed phase platelet destruction might be mediated by antibodies, and suggest immunoregulatory treatment in severe patients to improve outcomes. Besides, clinicians need to pay attention to the delayed phase thrombocytopenia especially at 3 to 4 weeks after symptom onset.Competing Interest StatementThe authors have declared no competing interest.Funding StatementNoAuthor DeclarationsAll relevant ethical guidelines have been followed; any necessary IRB and/or ethics committee approvals have been obtained and details of the IRB/oversight body are included in the manuscript.YesAll necessary patient/participant consent has been obtained and the appropriate institutional forms have been archived.YesI understand that all clinical trials and any other prospective interventional studies must be registered with an ICMJE-approved registry, such as ClinicalTrials.gov. I confirm that any such study reported in the manuscript has been registered and the trial registration ID is provided (note: if posting a prospective study registered retrospectively, please provide a statement in the trial ID field explaining why the study was not registered in advance).Yes I have followed all appropriate research reporting guidelines and uploaded the relevant EQUATOR Network research reporting checklist(s) and other pertinent material as supplementary files, if applicable.YesSome or all data during the study are available from the corresponding author by request, under the permission of Ethic Committee and patients.",bbf4477c-37ba-416d-b7ee-db8df45cb2f2
patients,ORGANISM,"The pandemic COVID19 pneumonia has engulfed the entire world. Hematopoietic system can also be affected by COVID19. Thrombocytopenia at admission was prevalent, while late phase or delayed phase thrombocytopenia is obscure. This retrospective case series analyzed patients with COVID19 at the Union Hospital, Wuhan, China, from January 25th to March 9th, 2020. Analysis began on March 11th, 2020. COVID19 associated delayed phase thrombocytopenia was occurred in 11.8% percent of enrolled patients. The delayed phase thrombocytopenia in COVID19 is prone to develop in elderly patients or patients with low lymphocyte count on admission. The delayed-phase thrombocytopenia is significantly associated with increased length of hospital stay and higher ICU admission rate. Delayed phase nadir platelet counts demonstrated a high and significantly negative linear correlation with B cell percentages and serum IL 6 levels. We also presented bone marrow aspiration pathology of three patients with delayed phase thrombocytopenia, showing impaired maturation of megakaryocytes. We speculated that the delayed phase platelet destruction might be mediated by antibodies, and suggest immunoregulatory treatment in severe patients to improve outcomes. Besides, clinicians need to pay attention to the delayed phase thrombocytopenia especially at 3 to 4 weeks after symptom onset.Competing Interest StatementThe authors have declared no competing interest.Funding StatementNoAuthor DeclarationsAll relevant ethical guidelines have been followed; any necessary IRB and/or ethics committee approvals have been obtained and details of the IRB/oversight body are included in the manuscript.YesAll necessary patient/participant consent has been obtained and the appropriate institutional forms have been archived.YesI understand that all clinical trials and any other prospective interventional studies must be registered with an ICMJE-approved registry, such as ClinicalTrials.gov. I confirm that any such study reported in the manuscript has been registered and the trial registration ID is provided (note: if posting a prospective study registered retrospectively, please provide a statement in the trial ID field explaining why the study was not registered in advance).Yes I have followed all appropriate research reporting guidelines and uploaded the relevant EQUATOR Network research reporting checklist(s) and other pertinent material as supplementary files, if applicable.YesSome or all data during the study are available from the corresponding author by request, under the permission of Ethic Committee and patients.",bbf4477c-37ba-416d-b7ee-db8df45cb2f2
COVID19,GENE_OR_GENE_PRODUCT,"The pandemic COVID19 pneumonia has engulfed the entire world. Hematopoietic system can also be affected by COVID19. Thrombocytopenia at admission was prevalent, while late phase or delayed phase thrombocytopenia is obscure. This retrospective case series analyzed patients with COVID19 at the Union Hospital, Wuhan, China, from January 25th to March 9th, 2020. Analysis began on March 11th, 2020. COVID19 associated delayed phase thrombocytopenia was occurred in 11.8% percent of enrolled patients. The delayed phase thrombocytopenia in COVID19 is prone to develop in elderly patients or patients with low lymphocyte count on admission. The delayed-phase thrombocytopenia is significantly associated with increased length of hospital stay and higher ICU admission rate. Delayed phase nadir platelet counts demonstrated a high and significantly negative linear correlation with B cell percentages and serum IL 6 levels. We also presented bone marrow aspiration pathology of three patients with delayed phase thrombocytopenia, showing impaired maturation of megakaryocytes. We speculated that the delayed phase platelet destruction might be mediated by antibodies, and suggest immunoregulatory treatment in severe patients to improve outcomes. Besides, clinicians need to pay attention to the delayed phase thrombocytopenia especially at 3 to 4 weeks after symptom onset.Competing Interest StatementThe authors have declared no competing interest.Funding StatementNoAuthor DeclarationsAll relevant ethical guidelines have been followed; any necessary IRB and/or ethics committee approvals have been obtained and details of the IRB/oversight body are included in the manuscript.YesAll necessary patient/participant consent has been obtained and the appropriate institutional forms have been archived.YesI understand that all clinical trials and any other prospective interventional studies must be registered with an ICMJE-approved registry, such as ClinicalTrials.gov. I confirm that any such study reported in the manuscript has been registered and the trial registration ID is provided (note: if posting a prospective study registered retrospectively, please provide a statement in the trial ID field explaining why the study was not registered in advance).Yes I have followed all appropriate research reporting guidelines and uploaded the relevant EQUATOR Network research reporting checklist(s) and other pertinent material as supplementary files, if applicable.YesSome or all data during the study are available from the corresponding author by request, under the permission of Ethic Committee and patients.",bbf4477c-37ba-416d-b7ee-db8df45cb2f2
Wuhan,ORGANISM,"The pandemic COVID19 pneumonia has engulfed the entire world. Hematopoietic system can also be affected by COVID19. Thrombocytopenia at admission was prevalent, while late phase or delayed phase thrombocytopenia is obscure. This retrospective case series analyzed patients with COVID19 at the Union Hospital, Wuhan, China, from January 25th to March 9th, 2020. Analysis began on March 11th, 2020. COVID19 associated delayed phase thrombocytopenia was occurred in 11.8% percent of enrolled patients. The delayed phase thrombocytopenia in COVID19 is prone to develop in elderly patients or patients with low lymphocyte count on admission. The delayed-phase thrombocytopenia is significantly associated with increased length of hospital stay and higher ICU admission rate. Delayed phase nadir platelet counts demonstrated a high and significantly negative linear correlation with B cell percentages and serum IL 6 levels. We also presented bone marrow aspiration pathology of three patients with delayed phase thrombocytopenia, showing impaired maturation of megakaryocytes. We speculated that the delayed phase platelet destruction might be mediated by antibodies, and suggest immunoregulatory treatment in severe patients to improve outcomes. Besides, clinicians need to pay attention to the delayed phase thrombocytopenia especially at 3 to 4 weeks after symptom onset.Competing Interest StatementThe authors have declared no competing interest.Funding StatementNoAuthor DeclarationsAll relevant ethical guidelines have been followed; any necessary IRB and/or ethics committee approvals have been obtained and details of the IRB/oversight body are included in the manuscript.YesAll necessary patient/participant consent has been obtained and the appropriate institutional forms have been archived.YesI understand that all clinical trials and any other prospective interventional studies must be registered with an ICMJE-approved registry, such as ClinicalTrials.gov. I confirm that any such study reported in the manuscript has been registered and the trial registration ID is provided (note: if posting a prospective study registered retrospectively, please provide a statement in the trial ID field explaining why the study was not registered in advance).Yes I have followed all appropriate research reporting guidelines and uploaded the relevant EQUATOR Network research reporting checklist(s) and other pertinent material as supplementary files, if applicable.YesSome or all data during the study are available from the corresponding author by request, under the permission of Ethic Committee and patients.",bbf4477c-37ba-416d-b7ee-db8df45cb2f2
COVID19,GENE_OR_GENE_PRODUCT,"The pandemic COVID19 pneumonia has engulfed the entire world. Hematopoietic system can also be affected by COVID19. Thrombocytopenia at admission was prevalent, while late phase or delayed phase thrombocytopenia is obscure. This retrospective case series analyzed patients with COVID19 at the Union Hospital, Wuhan, China, from January 25th to March 9th, 2020. Analysis began on March 11th, 2020. COVID19 associated delayed phase thrombocytopenia was occurred in 11.8% percent of enrolled patients. The delayed phase thrombocytopenia in COVID19 is prone to develop in elderly patients or patients with low lymphocyte count on admission. The delayed-phase thrombocytopenia is significantly associated with increased length of hospital stay and higher ICU admission rate. Delayed phase nadir platelet counts demonstrated a high and significantly negative linear correlation with B cell percentages and serum IL 6 levels. We also presented bone marrow aspiration pathology of three patients with delayed phase thrombocytopenia, showing impaired maturation of megakaryocytes. We speculated that the delayed phase platelet destruction might be mediated by antibodies, and suggest immunoregulatory treatment in severe patients to improve outcomes. Besides, clinicians need to pay attention to the delayed phase thrombocytopenia especially at 3 to 4 weeks after symptom onset.Competing Interest StatementThe authors have declared no competing interest.Funding StatementNoAuthor DeclarationsAll relevant ethical guidelines have been followed; any necessary IRB and/or ethics committee approvals have been obtained and details of the IRB/oversight body are included in the manuscript.YesAll necessary patient/participant consent has been obtained and the appropriate institutional forms have been archived.YesI understand that all clinical trials and any other prospective interventional studies must be registered with an ICMJE-approved registry, such as ClinicalTrials.gov. I confirm that any such study reported in the manuscript has been registered and the trial registration ID is provided (note: if posting a prospective study registered retrospectively, please provide a statement in the trial ID field explaining why the study was not registered in advance).Yes I have followed all appropriate research reporting guidelines and uploaded the relevant EQUATOR Network research reporting checklist(s) and other pertinent material as supplementary files, if applicable.YesSome or all data during the study are available from the corresponding author by request, under the permission of Ethic Committee and patients.",bbf4477c-37ba-416d-b7ee-db8df45cb2f2
patients,ORGANISM,"The pandemic COVID19 pneumonia has engulfed the entire world. Hematopoietic system can also be affected by COVID19. Thrombocytopenia at admission was prevalent, while late phase or delayed phase thrombocytopenia is obscure. This retrospective case series analyzed patients with COVID19 at the Union Hospital, Wuhan, China, from January 25th to March 9th, 2020. Analysis began on March 11th, 2020. COVID19 associated delayed phase thrombocytopenia was occurred in 11.8% percent of enrolled patients. The delayed phase thrombocytopenia in COVID19 is prone to develop in elderly patients or patients with low lymphocyte count on admission. The delayed-phase thrombocytopenia is significantly associated with increased length of hospital stay and higher ICU admission rate. Delayed phase nadir platelet counts demonstrated a high and significantly negative linear correlation with B cell percentages and serum IL 6 levels. We also presented bone marrow aspiration pathology of three patients with delayed phase thrombocytopenia, showing impaired maturation of megakaryocytes. We speculated that the delayed phase platelet destruction might be mediated by antibodies, and suggest immunoregulatory treatment in severe patients to improve outcomes. Besides, clinicians need to pay attention to the delayed phase thrombocytopenia especially at 3 to 4 weeks after symptom onset.Competing Interest StatementThe authors have declared no competing interest.Funding StatementNoAuthor DeclarationsAll relevant ethical guidelines have been followed; any necessary IRB and/or ethics committee approvals have been obtained and details of the IRB/oversight body are included in the manuscript.YesAll necessary patient/participant consent has been obtained and the appropriate institutional forms have been archived.YesI understand that all clinical trials and any other prospective interventional studies must be registered with an ICMJE-approved registry, such as ClinicalTrials.gov. I confirm that any such study reported in the manuscript has been registered and the trial registration ID is provided (note: if posting a prospective study registered retrospectively, please provide a statement in the trial ID field explaining why the study was not registered in advance).Yes I have followed all appropriate research reporting guidelines and uploaded the relevant EQUATOR Network research reporting checklist(s) and other pertinent material as supplementary files, if applicable.YesSome or all data during the study are available from the corresponding author by request, under the permission of Ethic Committee and patients.",bbf4477c-37ba-416d-b7ee-db8df45cb2f2
COVID19,GENE_OR_GENE_PRODUCT,"The pandemic COVID19 pneumonia has engulfed the entire world. Hematopoietic system can also be affected by COVID19. Thrombocytopenia at admission was prevalent, while late phase or delayed phase thrombocytopenia is obscure. This retrospective case series analyzed patients with COVID19 at the Union Hospital, Wuhan, China, from January 25th to March 9th, 2020. Analysis began on March 11th, 2020. COVID19 associated delayed phase thrombocytopenia was occurred in 11.8% percent of enrolled patients. The delayed phase thrombocytopenia in COVID19 is prone to develop in elderly patients or patients with low lymphocyte count on admission. The delayed-phase thrombocytopenia is significantly associated with increased length of hospital stay and higher ICU admission rate. Delayed phase nadir platelet counts demonstrated a high and significantly negative linear correlation with B cell percentages and serum IL 6 levels. We also presented bone marrow aspiration pathology of three patients with delayed phase thrombocytopenia, showing impaired maturation of megakaryocytes. We speculated that the delayed phase platelet destruction might be mediated by antibodies, and suggest immunoregulatory treatment in severe patients to improve outcomes. Besides, clinicians need to pay attention to the delayed phase thrombocytopenia especially at 3 to 4 weeks after symptom onset.Competing Interest StatementThe authors have declared no competing interest.Funding StatementNoAuthor DeclarationsAll relevant ethical guidelines have been followed; any necessary IRB and/or ethics committee approvals have been obtained and details of the IRB/oversight body are included in the manuscript.YesAll necessary patient/participant consent has been obtained and the appropriate institutional forms have been archived.YesI understand that all clinical trials and any other prospective interventional studies must be registered with an ICMJE-approved registry, such as ClinicalTrials.gov. I confirm that any such study reported in the manuscript has been registered and the trial registration ID is provided (note: if posting a prospective study registered retrospectively, please provide a statement in the trial ID field explaining why the study was not registered in advance).Yes I have followed all appropriate research reporting guidelines and uploaded the relevant EQUATOR Network research reporting checklist(s) and other pertinent material as supplementary files, if applicable.YesSome or all data during the study are available from the corresponding author by request, under the permission of Ethic Committee and patients.",bbf4477c-37ba-416d-b7ee-db8df45cb2f2
patients,ORGANISM,"The pandemic COVID19 pneumonia has engulfed the entire world. Hematopoietic system can also be affected by COVID19. Thrombocytopenia at admission was prevalent, while late phase or delayed phase thrombocytopenia is obscure. This retrospective case series analyzed patients with COVID19 at the Union Hospital, Wuhan, China, from January 25th to March 9th, 2020. Analysis began on March 11th, 2020. COVID19 associated delayed phase thrombocytopenia was occurred in 11.8% percent of enrolled patients. The delayed phase thrombocytopenia in COVID19 is prone to develop in elderly patients or patients with low lymphocyte count on admission. The delayed-phase thrombocytopenia is significantly associated with increased length of hospital stay and higher ICU admission rate. Delayed phase nadir platelet counts demonstrated a high and significantly negative linear correlation with B cell percentages and serum IL 6 levels. We also presented bone marrow aspiration pathology of three patients with delayed phase thrombocytopenia, showing impaired maturation of megakaryocytes. We speculated that the delayed phase platelet destruction might be mediated by antibodies, and suggest immunoregulatory treatment in severe patients to improve outcomes. Besides, clinicians need to pay attention to the delayed phase thrombocytopenia especially at 3 to 4 weeks after symptom onset.Competing Interest StatementThe authors have declared no competing interest.Funding StatementNoAuthor DeclarationsAll relevant ethical guidelines have been followed; any necessary IRB and/or ethics committee approvals have been obtained and details of the IRB/oversight body are included in the manuscript.YesAll necessary patient/participant consent has been obtained and the appropriate institutional forms have been archived.YesI understand that all clinical trials and any other prospective interventional studies must be registered with an ICMJE-approved registry, such as ClinicalTrials.gov. I confirm that any such study reported in the manuscript has been registered and the trial registration ID is provided (note: if posting a prospective study registered retrospectively, please provide a statement in the trial ID field explaining why the study was not registered in advance).Yes I have followed all appropriate research reporting guidelines and uploaded the relevant EQUATOR Network research reporting checklist(s) and other pertinent material as supplementary files, if applicable.YesSome or all data during the study are available from the corresponding author by request, under the permission of Ethic Committee and patients.",bbf4477c-37ba-416d-b7ee-db8df45cb2f2
patients,ORGANISM,"The pandemic COVID19 pneumonia has engulfed the entire world. Hematopoietic system can also be affected by COVID19. Thrombocytopenia at admission was prevalent, while late phase or delayed phase thrombocytopenia is obscure. This retrospective case series analyzed patients with COVID19 at the Union Hospital, Wuhan, China, from January 25th to March 9th, 2020. Analysis began on March 11th, 2020. COVID19 associated delayed phase thrombocytopenia was occurred in 11.8% percent of enrolled patients. The delayed phase thrombocytopenia in COVID19 is prone to develop in elderly patients or patients with low lymphocyte count on admission. The delayed-phase thrombocytopenia is significantly associated with increased length of hospital stay and higher ICU admission rate. Delayed phase nadir platelet counts demonstrated a high and significantly negative linear correlation with B cell percentages and serum IL 6 levels. We also presented bone marrow aspiration pathology of three patients with delayed phase thrombocytopenia, showing impaired maturation of megakaryocytes. We speculated that the delayed phase platelet destruction might be mediated by antibodies, and suggest immunoregulatory treatment in severe patients to improve outcomes. Besides, clinicians need to pay attention to the delayed phase thrombocytopenia especially at 3 to 4 weeks after symptom onset.Competing Interest StatementThe authors have declared no competing interest.Funding StatementNoAuthor DeclarationsAll relevant ethical guidelines have been followed; any necessary IRB and/or ethics committee approvals have been obtained and details of the IRB/oversight body are included in the manuscript.YesAll necessary patient/participant consent has been obtained and the appropriate institutional forms have been archived.YesI understand that all clinical trials and any other prospective interventional studies must be registered with an ICMJE-approved registry, such as ClinicalTrials.gov. I confirm that any such study reported in the manuscript has been registered and the trial registration ID is provided (note: if posting a prospective study registered retrospectively, please provide a statement in the trial ID field explaining why the study was not registered in advance).Yes I have followed all appropriate research reporting guidelines and uploaded the relevant EQUATOR Network research reporting checklist(s) and other pertinent material as supplementary files, if applicable.YesSome or all data during the study are available from the corresponding author by request, under the permission of Ethic Committee and patients.",bbf4477c-37ba-416d-b7ee-db8df45cb2f2
lymphocyte,CELL,"The pandemic COVID19 pneumonia has engulfed the entire world. Hematopoietic system can also be affected by COVID19. Thrombocytopenia at admission was prevalent, while late phase or delayed phase thrombocytopenia is obscure. This retrospective case series analyzed patients with COVID19 at the Union Hospital, Wuhan, China, from January 25th to March 9th, 2020. Analysis began on March 11th, 2020. COVID19 associated delayed phase thrombocytopenia was occurred in 11.8% percent of enrolled patients. The delayed phase thrombocytopenia in COVID19 is prone to develop in elderly patients or patients with low lymphocyte count on admission. The delayed-phase thrombocytopenia is significantly associated with increased length of hospital stay and higher ICU admission rate. Delayed phase nadir platelet counts demonstrated a high and significantly negative linear correlation with B cell percentages and serum IL 6 levels. We also presented bone marrow aspiration pathology of three patients with delayed phase thrombocytopenia, showing impaired maturation of megakaryocytes. We speculated that the delayed phase platelet destruction might be mediated by antibodies, and suggest immunoregulatory treatment in severe patients to improve outcomes. Besides, clinicians need to pay attention to the delayed phase thrombocytopenia especially at 3 to 4 weeks after symptom onset.Competing Interest StatementThe authors have declared no competing interest.Funding StatementNoAuthor DeclarationsAll relevant ethical guidelines have been followed; any necessary IRB and/or ethics committee approvals have been obtained and details of the IRB/oversight body are included in the manuscript.YesAll necessary patient/participant consent has been obtained and the appropriate institutional forms have been archived.YesI understand that all clinical trials and any other prospective interventional studies must be registered with an ICMJE-approved registry, such as ClinicalTrials.gov. I confirm that any such study reported in the manuscript has been registered and the trial registration ID is provided (note: if posting a prospective study registered retrospectively, please provide a statement in the trial ID field explaining why the study was not registered in advance).Yes I have followed all appropriate research reporting guidelines and uploaded the relevant EQUATOR Network research reporting checklist(s) and other pertinent material as supplementary files, if applicable.YesSome or all data during the study are available from the corresponding author by request, under the permission of Ethic Committee and patients.",bbf4477c-37ba-416d-b7ee-db8df45cb2f2
